iter	Passed	Remaining
754	10796	3503
755	10812	3489
756	10823	3474
757	10835	3459
758	10845	3443
759	10856	3428
760	10868	3413
761	10879	3397
762	10889	3382
763	10900	3367
764	10911	3352
765	10927	3338
766	10941	3323
767	10953	3308
768	10964	3293
769	10974	3278
770	10986	3263
771	10996	3247
772	11007	3232
773	11019	3217
774	11031	3202
775	11041	3187
776	11051	3171
777	11064	3157
778	11075	3142
779	11089	3127
780	11102	3113
781	11116	3098
782	11131	3085
783	11146	3071
784	11161	3056
785	11172	3041
786	11185	3027
787	11199	3013
788	11214	2999
789	11229	2985
790	11241	2970
791	11253	2955
792	11266	2940
793	11281	2926
794	11295	2912
795	11310	2898
796	11325	2884
797	11340	2870
798	11355	2856
799	11368	2842
800	11381	2827
801	11395	2813
802	11419	2801
803	11450	2791
804	11482	2781
805	11526	2774
806	11586	2770
807	11616	2760
808	11640	2748
809	11656	2734
810	11670	2719
811	11685	2705
812	11699	2691
813	11713	2676
814	11727	2662
815	11741	2647
816	11755	2633
817	11769	2618
818	11780	2603
819	11797	2589
820	11819	2576
821	11837	2563
822	11850	2548
823	11862	2533
824	11874	2518
825	11888	2504
826	11902	2489
827	11917	2475
828	11933	2461
829	11948	2447
830	11960	2432
831	11975	2418
832	11988	2403
833	12003	2389
834	12019	2375
835	12033	2360
836	12046	2345
837	12057	2330
838	12071	2316
839	12086	2302
840	12100	2287
841	12114	2273
842	12126	2258
843	12140	2244
844	12155	2229
845	12170	2215
846	12182	2200
847	12194	2185
848	12205	2170
849	12217	2156
850	12230	2141
851	12243	2126
852	12252	2111
853	12263	2096
854	12276	2082
855	12290	2067
856	12302	2052
857	12312	2037
858	12321	2022
859	12332	2007
860	12343	1992
861	12352	1977
862	12362	1962
863	12373	1947
864	12383	1932
865	12398	1918
866	12412	1904
867	12423	1889
868	12432	1874
869	12446	1859
870	12459	1845
871	12469	1830
872	12478	1815
873	12490	1800
874	12501	1785
875	12512	1771
876	12523	1756
877	12532	1741
878	12549	1727
879	12562	1713
880	12575	1698
881	12589	1684
882	12602	1669
883	12616	1655
884	12629	1641
885	12641	1626
886	12653	1612
887	12666	1597
888	12679	1583
889	12693	1568
890	12707	1554
891	12720	1540
892	12734	1525
893	12745	1511
894	12759	1496
895	12776	1482
896	12793	1469
897	12812	1455
898	12826	1441
899	12841	1426
900	12855	1412
901	12870	1398
902	12889	1384
903	12907	1370
904	12929	1357
905	12949	1343
906	12967	1329
907	12984	1315
